Tool,Home,Description,Collection,Topics,Functions,Input (type),Input (format),Output (type),Output (format),Reference,Docs,Terms of use,Helpdesk,Contact,Owner (GTL),Cluster,Tool Group,Maturity
_,_,_,_is collection OK?,_are topic(s) OK?  Add missing topics (try to list 3 most imporant topics),_are function(s) OK?  Add missing functions. ,_are types OK?,_,_are types OK?,_,,_,_,_,_,_,_,,
_text,_URL,_text,_text,_EDAM Topic term & ID (http://edamontology.org/topic_0003),_EDAM Operation term & ID (http://edamontology.org/operation_0004),_EDAM Data term & ID (http://edamontology.org/data_0006),_EDAM Format term & ID (http://edamontology.org/format_0006),_EDAM Data term & ID (http://edamontology.org/data_0006),_EDAM Format term & ID (http://edamontology.org/format_0006),_text and/or PMCID/DOI,_URL,_URL,_email or URL,_name and email,_text,_text,,
_tool name,_homepage,_concise scientific / technical description ,_informal tool group(s).  Used for browsing. Collections should have >2 tools! ,_relevant biological topics (scientific domains).  ,_primary function(s),_ primary input(s) : type of data,_supported input formats,_ primary output(s) : type of data,_supported output formats,_publication defining tool / algorithm,_documentation page,_link to license text or terms of use,_primary public contact point,_contact person (for EBI internal use) ,"_name of GTL ""owner"" of the tool",_EBI functional cluster the tool belongs to,,
1000Genomes assembly converter,http://browser.1000genomes.org/tools.html,Map your data to the current assembly,EBI Tools|Ensembl Tools,Nucleic acids (topic_0077)|NGS (topic_3168),Read mapping (operation_3198),Genomic features (data_1276),GFF (format_2305)|GTF (format_2306)|BED (format_3003)|PSL (format_3007),Genomic features (data_1276),GFF (format_2305),unpublished,http://browser.1000genomes.org/tools.html,http://www.ebi.ac.uk/about/terms-of-use,info@1000genomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Andy Yates,GGV,B,Established
1000Genomes data slicer,http://browser.1000genomes.org/tools.html,Get a subset of data from a BAM or VCF file,EBI Tools|Ensembl Tools,Data management (topic_3071)|NGS (topic_3168)|Nucleic acids (topic_0077),Sequence file editing (operation_2121),Sequence coordinates (data_2012),BAM (format_2572)|VCF (format_3016),Sequence coordinates (data_2012),BAM (format_2572)|VCF (format_3016),PMID:22543379,http://browser.1000genomes.org/tools.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Andy Yates,GGV,B,Established
1000Genomes ID history converter,http://browser.1000genomes.org/tools.html,Convert a set of Ensembl IDs from a previous release into their current equivalents,EBI Tools|Ensembl Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),Ensembl IDs (data_2610),Textual format (format_2330),Ensembl IDs (data_2610),Textual format (format_2330),unpublished,http://browser.1000genomes.org/tools.html,http://www.ebi.ac.uk/about/terms-of-use,info@1000genomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Andy Yates,GGV,B,Established
1000Genomes Variation Pattern Finder,http://browser.1000genomes.org/tools.html,Identify variation patterns in a chromosomal region of interest for different individuals,EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant pattern analysis (operation_3504),Sequence variations (data_3498),VCF (format_3016)| Sample data,Report (date_2048),CSV (format_3475)|xls (format_3468)|HTML (format_2331),unpublished,http://browser.1000genomes.org/tools.html,http://www.ebi.ac.uk/about/terms-of-use,info@1000genomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Andy Yates,GGV,B,Established
1000Genomes VCF2PED,http://browser.1000genomes.org/tools.html,"Allows users to convert a VCF file into a linkage pedigree file (ped) and a marker information file, which together may be loaded into ld visualization tools like Haploview",EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|Data management (topic_3071)|NGS (topic_3168),File format conversion (operation_0335),Sequence variations (data_3498),VCF (format_3016),Sequence variations (data_3498),PED (format_3286),unpublished,http://browser.1000genomes.org/tools.html,http://www.ebi.ac.uk/about/terms-of-use,info@1000genomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Andy Yates,GGV,B,Established
1000Genomes VEP,http://browser.1000genomes.org/tools.html,Upload a set of variants in our standard format and export a file containing consequence types,EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant classification (operation_3225),Sequence variations (data_3498),Ensembl variation file format (format_3499)|VCF (format_3016),Report (data_2048),Textual format (format_2330)|HTML (format_2331),PMID:20562413,http://browser.1000genomes.org/tools.html,http://www.ebi.ac.uk/about/terms-of-use,info@1000genomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Andy Yates,GGV,B,Established
Assembly converter,http://www.ensembl.org/Multi/Tools/AssemblyConverter,Map your data to the current assembly. Based on the CrossMap tool,EBI tools|Ensembl Tools,Nucleic acids (topic_0077)|NGS (topic_3168),Read mapping (operation_3198),Genomic features (data_1276),GFF (format_2305)|GTF (format_2306)|BED (format_3003)|PSL (format_3007)|VCF (format_3016)|Wig,Genomic features (data_1276),GFF (format_2305)|GTF (format_2306)|BED (format_3003)|PSL (format_3007)|VCF (format_3016)|Wig,PMID:25352552,http://www.ensembl.org/Help/View?id=559,http://www.ebi.ac.uk/about/terms-of-use,http://www.ensembl.org/Help/Contact,Andrew Yates (ayates@ebi.ac.uk),Andy Yates,GGV,B,Established
